long,lat
-117.42,-51.81
-3.0,-47.5
-77.21,39.23
-78.22,38.38
-73.48,41.01
54.62,-68.19
68.07,-59.04
59.72,-66.9
51.86,-67.17
51.86,-67.17
51.86,-67.17
58.18,-68.07
58.45,-58.45
51.9,-59.24
52.12,-59.8
55.42,-67.36
55.42,-67.36
48.3,-64.23
50.54,-61.33
59.63,-58.56
57.39,-68.25
52.43,-59.24
51.86,-64.15
64.69,-57.82
64.69,-57.82
50.49,-65.57
50.41,-63.21
59.81,-68.72
53.96,-68.42
53.96,-68.42
56.87,-67.2
50.71,-60.0
57.44,-67.74
58.67,-67.89
55.77,-58.42
58.84,-68.3
53.13,-60.06
53.53,-67.47
57.39,-68.25
46.32,-63.74
60.56,-58.54
50.41,-63.21
53.04,-64.03
63.24,-57.94
63.5,-35.03
9.67,-32.32
-0.3,17.0
0.7,17.0
-46.49,24.1
-65.79,45.95
-64.78,30.11
-30.0,16.6
-59.6,-41.51
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
-116.42,-51.81
-4.5,-47.5
-6.0,-47.5
64.5,-35.03
-57.8,25.5
-56.6,25.5
-28.4,14.6
-28.4,14.6
-29.2,16.6
-61.0,-41.51
64.07,-50.49
75.15,-48.95
13.58,-38.0
-0.3,18.6
-13.0,-6.0
-12.0,-6.0
-13.5,-7.62
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
59.78,49.67
48.6,-69.81
57.08,-67.89
-46.49,24.1
-46.49,24.1
2.02,-18.19
2.02,-18.19
7.331531397,-0.11
7.331531397,-0.11
28.39,-35.28
28.39,-35.28
6.331531397,-0.315312708
6.331531397,-0.315312708
-71.60429156,-42.92644268
-71.60429156,-42.92644268
2.9,-17.48
2.9,-17.48
2.9,-17.48
2.9,-17.48
-57.01497351,53.07633307
67.37664775,58.83322485
-27.16,5.05
-27.16,5.05
33.44,-19.77
33.44,-19.77
41.5,-33.36113153
41.5,-33.36113153
-75.27366803,-40.37586996
-75.27366803,-40.37586996
33.59880753,-42.65809969
50.65161825,-54.2584157
-32.48,9.62
-32.48,9.62
-24.37879756,-20.78965094
-24.37879756,-20.78965094
-24.37879756,-20.78965094
-24.37879756,-20.78965094
5.365679004,-28.3889624
5.365679004,-28.3889624
73.65625386,-53.58456501
14.96837814,-32.05829843
14.96837814,-32.05829843
22.62576034,-21.82729608
22.62576034,-21.82729608
4.39964606,32.83096514
4.39964606,32.83096514
-45.60961575,7.754195854
70.5,-58.75
70.5,-58.75
-88.0,-66.5
4.717999922,-32.84873673
4.717999922,-32.84873673
47.20398154,26.78780989
22.76,-14.77
22.76,-14.77
-113.2708814,-40.99649907
-113.2708814,-40.99649907
57.91951176,44.86563868
57.91951176,44.86563868
53.59798218,35.21226252
53.59798218,35.21226252
37.92546957,-33.13760749
78.59064907,-43.85206356
78.59064907,-43.85206356
79.59064907,-43.85206356
79.59064907,-43.85206356
79.59064907,-43.85206356
-43.5,9.5
-43.5,9.5
-31.53340005,19.20931394
-31.53340005,19.20931394
-110.4564185,-56.73822151
-110.4564185,-56.73822151
-31.6,9.28
-31.6,9.28
-1.63,-20.8
-27.42,6.53
-27.42,6.53
-27.49858307,-5.151453252
6.250138605,-70.30941701
-20.9,18.0
-20.9,18.0
-69.4352403,40.19842031
-69.4352403,40.19842031
-23.50593074,12.07755695
-23.50593074,12.07755695
15.14763511,-28.75076443
15.14763511,-28.75076443
-108.7596908,-66.71467664
52.310358,-21.36113153
59.55592317,25.79800139
80.1,-35.47
-35.91798537,9.024509804
-35.91798537,9.024509804
-66.12553826,41.75021793
-66.12553826,41.75021793
-66.12553826,41.75021793
-52.49106833,30.03015469
-3.517950868,-68.59696066
48.38,-19.77
63.9,43.23
63.9,43.23
-38.17196295,8.156611848
-38.17196295,8.156611848
-20.9,18.0
-20.9,18.0
-20.9,18.0
-20.9,18.0
-42.1,9.5
-20.9,18.0
-20.9,18.0
-39.11,8.36
-27.76634909,2.584667775
-27.76634909,2.584667775
-30.2384255,-4.615127012
-39.33,1.89
-39.33,1.89
46.85,-16.17
46.85,-16.17
46.85,-16.17
46.85,-16.17
46.85,-16.17
-20.9,18.0
-20.9,18.0
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.73,24.73
7.331531397,-0.11
54.45516062,-56.98686588
54.45516062,-56.98686588
-10.43507275,29.76970473
-10.43507275,29.76970473
-10.43507275,29.76970473
-10.43507275,29.76970473
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-20.36474701,-28.19659646
-23.85271285,-8.990328373
-23.85271285,-8.990328373
-23.85271285,-8.990328373
-23.85271285,-8.990328373
0.909587983,-7.509970112
0.909587983,-7.509970112
0.909587983,-7.509970112
0.909587983,-7.509970112
6.790669197,-15.57752642
6.790669197,-15.57752642
6.790669197,-15.57752642
6.790669197,-15.57752642
5.27,-0.79
-22.37,17.22
-38.25928546,1.33733376
-38.25928546,1.33733376
-38.25928546,1.33733376
-38.25928546,1.33733376
75.28,-23.89
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
-27.76634909,2.584667775
80.1,-35.47
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
21.53,-17.31
-28.21,4.65
-28.21,4.65
-28.21,4.65
-28.21,4.65
115.71,5.62
128.8,4.04
127.44,-14.39
134.82,-9.58
126.91,4.87
130.47,4.07
108.59,11.57
121.73,6.36
65.39,44.78
65.39,44.78
8.752600084,12.1328314
8.752600084,12.1328314
-14.81,14.65
-14.81,14.65
-17.75,15.5
-17.75,15.5
-19.00463551,15.89564495
-19.00463551,15.89564495
-16.3,20.3
-16.3,20.3
-3.497761283,15.5622364
-3.497761283,15.5622364
-23.60268331,3.076149264
-10.9241741,1.374914478
-10.9241741,1.374914478
-20.08484231,19.19715978
-20.08484231,19.19715978
-17.01,17.98
-17.01,17.98
-16.0,-6.18
-9.14,-21.21
-46.49,24.1
-46.49,24.1
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-19.34,23.68
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-20.23583742,22.58033234
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-21.08463325,22.24630073
-80.07,36.0
-80.07,36.0
-13.49,-20.72
-13.49,-20.72
-20.7,-19.64
-20.7,-19.64
-17.14,-19.48
-17.14,-19.48
66.8,52.38
66.8,52.38
-26.5,9.06
-26.5,9.06
-8.31,14.77
-8.31,14.77
-17.52291637,-6.472855493
-17.52291637,-6.472855493
-29.36,6.23
-29.36,6.23
-26.57720914,11.44170481
-26.57720914,11.44170481
-26.57720914,11.44170481
-26.57720914,11.44170481
-17.93,-5.05
-17.93,-5.05
-16.04,-31.28
-57.04,29.11
-30.54,-28.54
-30.54,-28.54
-2.77,-20.96
-1.54,-43.93
-52.12,27.92
-108.1860164,-52.70975012
-108.1860164,-52.70975012
9.36,-53.54
-36.0,7.14
-36.0,7.14
-33.2,7.14
-33.2,7.14
-0.57,-20.63
56.38,-53.28
56.38,-53.28
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-22.28,-20.06
-76.86,40.48
80.1,-35.47
80.1,-35.47
-73.87,-42.0
-73.87,-42.0
-25.09,11.14
-25.09,11.14
4.7,17.0
4.7,17.0
49.35,-20.18
3.69,-16.64
3.69,-16.64
47.37,-14.82
47.37,-14.82
85.08,-25.41
71.81,-15.54
71.81,-15.54
-46.49,24.1
66.36,-19.52
83.89,-27.37
54.8,8.71
78.49,10.44
-46.67,25.06
64.64,43.55
64.64,43.55
64.64,43.55
-12.17,-45.55
-43.59,7.41
-43.59,7.41
-57.36021622,37.01400913
-51.94572643,14.16008083
-80.47461005,-38.80742815
-0.915059097,-37.88242504
-0.915059097,-37.88242504
-40.7,9.5
-40.7,9.5
-14.73744399,-42.82511483
-108.7591054,-33.94768986
-71.81661417,-58.18060438
-71.34,-14.94
-71.34,-14.94
-122.3062153,-58.75344583
-35.77,13.33
-35.77,13.33
-40.49030364,-44.46371886
-40.49030364,-44.46371886
-40.49030364,-44.46371886
-40.49030364,-44.46371886
40.87,31.88
-46.63,7.67
-46.63,7.67
-77.43,19.51
-77.43,19.51
-11.16,13.97
-66.71,34.81
1.5,-47.5
-46.67,25.06
30.0,-31.5
65.5,-35.03
1.7,17.0
2.7,17.0
65.07,-50.49
-29.2,14.6
-29.2,14.6
13.5,-40.25
0.7,18.6
-12.0,-7.62
-11.0,-6.0
-10.0,-6.0
56.78,49.65
-21.0,20.88
-21.0,20.88
-32.78,4.83
-32.78,4.83
15.42,-8.75
15.42,-8.75
17.58,-8.71
17.58,-8.71
-7.93,40.8
-7.93,40.8
-88.01,20.81
-88.01,20.81
-1.5,-47.5
-1.5,-47.5
-118.43,-50.32
-118.43,-50.32
67.5,-37.03
67.5,-37.03
-66.01,-39.3
-66.01,-39.3
31.11,-30.9
31.11,-30.9
32.56,-30.83
32.56,-30.83
0.01,-47.5
0.01,-47.5
12.17,-40.25
12.17,-40.25
40.83,-35.98
40.83,-35.98
24.52,-14.07
24.52,-14.07
24.52,-14.07
24.52,-14.07
-13.93,16.0
-13.93,16.0
-5.01,14.6
-5.01,14.6
-22.59,18.98
-22.59,18.98
-25.0,21.04
-25.0,21.04
-25.27,18.69
-25.27,18.69
-32.3,17.77
-32.3,17.77
-30.94,17.14
-30.94,17.14
-22.1,21.78
-22.1,21.78
-63.11,35.07
-63.11,35.07
-63.11,35.07
-46.49,24.1
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-21.8,14.82
-21.8,14.82
-21.8,14.82
-21.8,14.82
2.46,-19.19
2.46,-19.19
2.46,-19.19
2.46,-19.19
-63.06,15.16
-63.06,15.16
-56.16,26.78
-56.16,26.78
-63.85,28.42
-66.36,33.58
-53.48,31.91
-53.48,31.91
-53.0,-9.32
-53.0,-9.32
-39.42,-5.62
-39.42,-5.62
-37.84,-32.29
-37.84,-32.29
-65.79,11.91
-1.89,-17.6
-1.89,-17.6
-21.0,20.88
-21.0,20.88
-18.19,21.5
-18.19,21.5
-3.35,-17.98
-3.35,-17.98
0.53,8.32
0.53,8.32
-1.27,5.53
-1.27,5.53
3.69,10.79
3.69,10.79
-5.05,4.48
-5.05,4.48
-2.64,20.55
-2.64,20.55
-2.5,9.28
-2.5,9.28
-15.07,-18.52
-15.07,-18.52
-13.27,-9.62
-13.27,-9.62
-1.32,7.89
-1.32,7.89
71.28,-42.33
71.28,-42.33
67.85,-40.25
67.85,-40.25
58.58,-33.43
60.64,-44.09
60.64,-44.09
59.33,-30.18
59.33,-30.18
61.26,-29.0
61.26,-29.0
72.33,-40.25
72.33,-40.25
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
0.39,-17.45
0.39,-17.45
-0.44,-18.77
-0.44,-18.77
-21.8,14.82
-21.8,14.82
-19.9,20.0
-19.9,20.0
-10.59,21.33
-10.59,21.33
-18.19,21.5
-18.19,21.5
-21.0,20.88
-21.0,20.88
-19.9,20.0
-19.9,20.0
-18.19,21.5
-18.19,21.5
-18.19,21.5
-18.19,21.5
-18.19,21.5
-18.19,21.5
-21.0,20.88
-21.0,20.88
-18.19,21.5
-18.19,21.5
-46.49,24.1
4.66,-16.17
4.66,-16.17
4.66,-16.17
4.66,-16.17
-67.76,17.01
-67.76,17.01
-57.04,29.11
-57.04,29.11
-65.79,45.95
-65.79,45.95
-64.78,30.11
-64.78,30.11
-53.66,32.55
-53.66,32.55
18.0,-20.7
18.0,-20.7
19.0,-20.7
19.0,-20.7
125.42,-0.7
125.42,-0.7
89.52,8.62
89.52,8.62
58.67,-13.15
58.67,-13.15
53.53,-7.89
53.53,-7.89
53.0,-8.58
53.0,-8.58
104.9,1.14
104.9,1.14
56.56,-9.97
56.56,-9.97
113.6,-2.37
113.6,-2.37
92.55,7.32
92.55,7.32
54.36,-9.32
54.36,-9.32
109.34,-5.18
109.34,-5.18
130.83,-3.34
130.83,-3.34
1.7,18.6
1.7,18.6
-11.35160745,37.54627035
-11.35160745,37.54627035
-30.0,14.6
-30.0,14.6
5.884873778,-7.42494046
5.884873778,-7.42494046
-11.35794125,39.87434721
-11.35794125,39.87434721
-86.31381443,30.14708346
-86.31381443,30.14708346
-59.0,25.5
-59.0,25.5
-96.18601637,-52.70975012
-96.18601637,-52.70975012
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-1.582940739,14.18843497
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-10.19699925,-7.551899181
-7.5,-47.5
-7.5,-47.5
17.0,-20.7
17.0,-20.7
17.0,-20.7
17.0,-20.7
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
-40.61,7.54
-40.61,7.54
-3.43,-6.66
-3.43,-6.66
-20.74,19.23
-20.74,19.23
58.58,-33.43
2.45,7.02
2.45,7.02
0.12,33.46
0.12,33.46
-13.1,18.77
-13.1,18.77
3.34,34.6
3.34,34.6
-6.35,4.07
-6.35,4.07
-12.22,13.24
-12.22,13.24
18.0,7.0
17.0,7.0
16.0,7.0
14.0,7.0
18.0,7.0
18.0,7.0
18.0,7.0
15.0,7.0
-8.13,16.0
-17.49,-4.17
-17.49,-4.17
-17.8,-2.42
-17.8,-2.42
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-8.13,16.0
-16.79,-2.33
-16.79,-2.33
-28.62,-2.64
-29.62,-2.64
-122.3062153,-58.75344583
-27.49858307,-5.151453252
-30.2384255,-4.615127012
7.331531397,-0.11
-53.79,-33.99
-53.79,-33.99
-13.8,-1.45
-13.8,-1.45
-28.62,-2.64
-29.62,-2.64
7.331531397,-0.11
20.74,-12.55
20.74,-12.55
-66.12553826,41.75021793
-23.60268331,3.076149264
-16.0,-6.18
17.0,7.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-0.83,-17.18
69.44,-44.8
69.44,-44.8
72.29,-50.79
72.29,-50.79
64.6,-53.44
64.6,-53.44
-24.74,8.41
-24.74,8.41
-21.8,14.82
-21.8,14.82
-9.0,-6.0
-9.0,-6.0
-20.9,18.0
-42.1,9.5
7.331531397,-0.11
5.27,-0.79
-22.37,17.22
-39.11,8.36
-13.0,21.6
-13.0,21.6
-9.4,2.2
-9.4,2.2
-21.0,20.88
-21.0,20.88
-21.0,20.88
-21.0,20.88
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-3.43,-6.66
-3.43,-6.66
-21.8,14.82
-21.8,14.82
-21.8,14.82
-21.8,14.82
-21.8,14.82
-14.19,19.06
-14.19,19.06
-46.63,7.67
-21.0,20.88
-21.0,20.88
-21.8,14.82
-21.8,14.82
-46.63,7.67
18.0,7.0
18.0,7.0
-54.36,-15.92
-54.36,-15.92
40.08,1.71
40.08,1.71
38.14,4.39
38.14,4.39
18.8,-3.6
33.0,2.9
34.0,2.9
35.0,2.9
12.76416329,3.415711673
12.76416329,3.415711673
47.64,-7.19
49.11782912,9.574085165
51.60652535,14.93675373
11.67904298,12.15253371
11.67904298,12.15253371
18.46,11.26
30.98,12.47
51.71920358,13.59642811
28.90958798,-8.509970112
28.90958798,-8.509970112
11.6,7.32
10.77,21.82
47.42,-9.45
24.87,11.65
24.87,11.65
11.87,6.09
11.87,6.09
11.78,21.74
36.0,2.9
27.25,12.38
27.25,12.38
39.29,-5.22
39.29,-5.22
29.53,24.33
29.53,24.33
23.51,4.04
23.51,4.04
42.06,-5.97
42.06,-5.97
45.4,-6.49
45.4,-6.49
44.17,-8.89
44.17,-8.89
20.0,1.19
28.87,19.02
28.87,19.02
43.15,-6.62
43.15,-6.62
23.51,4.04
23.51,4.04
37.0,2.9
37.0,2.9
37.0,2.9
37.0,2.9
37.0,2.9
37.0,2.9
37.0,2.9
37.0,2.9
40.0,14.0
40.0,14.0
40.0,14.0
40.0,14.0
40.0,14.0
40.0,14.0
37.0,2.9
37.0,2.9
40.0,14.0
40.0,14.0
-53.04,-18.06
-53.04,-18.06
-90.0,-48.0
-82.0,-48.22
-46.67,-0.13
-46.67,-0.13
-22.37,17.22
-22.37,17.22
-20.79,16.3
-20.79,16.3
0.1,1.0
-78.13,41.21
-14.2,14.65
-14.2,14.65
-56.79594607,-52.27652236
-113.3412135,-62.92053873
-78.69377812,-64.98219331
55.7782922,-68.49190996
-18.9,23.0
-18.9,23.0
-22.5,21.0
-22.5,21.0
-21.5,21.0
-21.5,21.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-19.9,20.0
-41.62,5.88
-41.62,5.88
0.1,1.0
-21.0,18.8
80.1,-35.47
80.1,-35.47
80.1,-35.47
70.5,-58.75
20.74,-12.55
8.96,39.98
8.96,39.98
58.67,-48.75
58.67,-48.75
-98.31,-52.59
-98.31,-52.59
54.62,40.31
54.62,40.31
20.74,-12.55
79.59064907,-43.85206356
-21.5,21.0
-21.5,21.0
-57.36021622,37.01400913
-10.0,5.0
-15.78,-35.39
-15.78,-35.39
6.15,-0.92
6.15,-0.92
33.0,-26.0
31.0,-27.0
29.0,-28.0
27.8,-275.0
-1.582940739,14.18843497
5.0,5.0
5.0,5.0
-51.0,-27.0
-52.0,-26.0
-48.0,-26.0
-46.0,-26.0
-46.0,-26.0
-47.48,-6.23
8.73,24.73
6.15,-0.92
8.73,24.73
