name;comment;element_type;country;lat;long;exact;start;stop;source;energy_elect_MW;energy_therm_MW;fuel_type_1;fuel_type_2; 
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[MW];[MW];[str];[str]; 
Ruien Thermal Power Plant Belgium;GEO_41974;{K};Belgien;50.7836;3.4904;1;1966;;http://globalenergyobservatory.org/select.php;889;;Coal;Natural Gas; 
Langerlo Thermal Power Plant Belgium;GEO_41965;{K};Belgien;50.9405;5.4906;1;;;http://globalenergyobservatory.org/select.php;556;;Coal;Natural Gas; 
Drogenbos CCGT Power Plant Belgium;GEO_41953;{K};Belgien;50.8023;4.299;1;;;http://globalenergyobservatory.org/select.php;538;;Natural Gas;; 
Brugge-Herdersbrug CCGT Power Plant Belgium;GEO_41950;{K};Belgien;51.2629;3.2112;1;1998;;http://globalenergyobservatory.org/select.php;460;;Natural Gas;Fuel Oil; 
Seraing CCGT Power Plant Belgium;GEO_41967;{K};Belgien;50.603;5.4917;1;1994;;http://globalenergyobservatory.org/select.php;460;;Natural Gas;; 
Amercoeur CCGT Power Plant Belgium;GEO_41947;{K};Belgien;50.4304;4.3955;1;2010;;http://globalenergyobservatory.org/select.php;420;;Natural Gas;; 
Marcinelle Energie (Carsid) CCGT Power Plant Belgium;GEO_41970;{K};Belgien;50.4138;4.4067;1;2011;;http://globalenergyobservatory.org/select.php;410;;Natural Gas;; 
Awirs 4 and 5 thermal Power Plant Belgium;GEO_41954;{K};Belgien;50.5851;5.418;1;2005;;http://globalenergyobservatory.org/select.php;389;;Natural Gas;Wood Waste; 
Vilvoorde (Verbrande-Brug) CCGT Power Plant Belgium;GEO_41969;{K};Belgien;50.9414;4.4246;1;2001;;http://globalenergyobservatory.org/select.php;385;;Natural Gas;; 
Ringvaart CCGT Power Plant Belgium;GEO_41949;{K};Belgien;51.1049;3.7257;1;1998;;http://globalenergyobservatory.org/select.php;359;;Natural Gas;Fuel Oil; 
Knippegroen CCGT Power Plant Belgium;GEO_41973;{K};Belgien;51.1587;3.8068;1;2010;;http://globalenergyobservatory.org/select.php;350;;;; 
Saint-Ghislain CCGT Power Plant Belgium;GEO_41948;{K};Belgien;50.4719;3.8248;1;2000;;http://globalenergyobservatory.org/select.php;350;;Natural Gas;Fuel Oil; 
Kallo Thermal Power Plant Belgium;GEO_41966;{K};Belgien;51.2577;4.2941;1;1972;;http://globalenergyobservatory.org/select.php;261;;Natural Gas;; 
Angleur Gas Power Plant Belgium;GEO_41976;{K};Belgien;50.6177;5.5837;1;;;http://globalenergyobservatory.org/select.php;238;;Natural Gas;; 
Ham (Ghent) OCGT and Heat Power Plant Belgium;GEO_41975;{K};Belgien;51.0596;3.7364;1;1993;;http://globalenergyobservatory.org/select.php;156;;Natural Gas;; 
ExxonMobil Antwerp Refinery CHP Power Plant Belgium;GEO_41968;{K};Belgien;51.2565;4.3383;1;2009;;http://globalenergyobservatory.org/select.php;130;;Natural Gas;; 
Skaerbaek CHP Power Plant Denmark;GEO_44237;{K};Daenemark;55.5118;9.6148;1;1997;;http://globalenergyobservatory.org/select.php;392;444;Natural Gas;Fuel Oil; 
HC Orsted CHP Power Plant Denmark;GEO_44235;{K};Daenemark;55.6761;12.56834;1;1984;;http://globalenergyobservatory.org/select.php;185;885;Natural Gas;Fuel Oil; 
Herning CHP Power Plant Denmark;GEO_44236;{K};Daenemark;56.1214;9.0068;1;1982;;http://globalenergyobservatory.org/select.php;95;0;Biomass (wood chips and pellets);Natural Gas; 
Svanemolle CHP Power Plant Denmark;GEO_44234;{K};Daenemark;55.7131;12.588;1;1995;;http://globalenergyobservatory.org/select.php;81;355;Natural Gas;Fuel Oil; 
Weisweiler Coal Power Plant Germany;GEO_44318;{K};Deutschland;50.8387;6.3219;1;1955;2000;http://globalenergyobservatory.org/select.php;2180;;Coal Lignite;Natural Gas; 
Großkrotzenburg (Staudinger) Coal CHP Power Station Germany;GEO_44208;{K};Deutschland;50.088;8.9522;1;1965;;http://globalenergyobservatory.org/select.php;1823;;Coal Hard;Natural Gas; 
Gersteinwerk CCGT Power Plant Germany;GEO_44438;{K};Deutschland;51.6732;7.7141;1;1972;;http://globalenergyobservatory.org/select.php;1285;;Natural Gas;; 
Lingen (Emsland) CCGT CHP Power Plant Germany;GEO_44323;{K};Deutschland;52.4828;7.3039;1;2010;;http://globalenergyobservatory.org/select.php;886;;Natural Gas;Fuel Oil; 
Lingen Cogeneration Power Plant Germany;GEO_44324;{K};Deutschland;52.4807;7.3062;1;1974;;http://globalenergyobservatory.org/select.php;854;74;Natural Gas;; 
Hamm-Uentrop CHP CCGT Power Plant Germany;GEO_44312;{K};Deutschland;51.6736;7.9288;1;2008;;http://globalenergyobservatory.org/select.php;850;;Natural Gas;; 
Irsching-5 CCGT Power Plant Germany;GEO_44306;{K};Deutschland;48.7677;11.5854;1;2010;;http://globalenergyobservatory.org/select.php;850;;Natural Gas;; 
Franken 1 Power Plant Germany;GEO_44466;{K};Deutschland;49.4209;11.0081;1;1973;;http://globalenergyobservatory.org/select.php;843;;Natural Gas;Fuel Oil; 
Knapsack CCGT Power Plant Germany;GEO_44314;{K};Deutschland;50.8593;6.841;1;2007;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;; 
Werne (Gersteinwerk Block K) Coal Power Plant Germany;GEO_44437;{K};Deutschland;51.6739;7.7195;1;1984;;http://globalenergyobservatory.org/select.php;770;;Coal Bituminous;Natural Gas; 
Mainz-Wiesbaden CCGT CHP Power Plant Germany;GEO_44316;{K};Deutschland;50.0264;8.2373;1;1977;;http://globalenergyobservatory.org/select.php;755;;Natural Gas;; 
Munchen Sud CCGT CHP Power Plant Germany;GEO_44307;{K};Deutschland;48.1143;11.5559;1;1980;;http://globalenergyobservatory.org/select.php;698;814;Natural Gas;Light Fuel Oil/Diesel; 
Duisberg-Huckingen CHP Power Plant Germany;GEO_44335;{K};Deutschland;51.3762;6.7239;1;1975;;http://globalenergyobservatory.org/select.php;606;;Blast furnace gas and coke oven gas;Natural Gas; 
Dormagen CCGT CHP Power Plant Germany;GEO_44311;{K};Deutschland;51.079;6.8288;1;2000;;http://globalenergyobservatory.org/select.php;560;;Natural Gas;Light Fuel Oil/Diesel; 
Irsching-4 (Ulrich Hartmann) CCGT Power Plant Germany;GEO_44305;{K};Deutschland;48.767;11.581;1;2009;;http://globalenergyobservatory.org/select.php;550;;Natural Gas;Light Fuel Oil/Diesel; 
Lausward E CHP Coal Power Plant Germany;GEO_44480;{K};Deutschland;51.222;6.7317;1;1974;;http://globalenergyobservatory.org/select.php;458;140;Coal;Natural Gas; 
Berlin Lichterfelde CHP Power PlantGermany;GEO_44465;{K};Deutschland;52.4247;13.3102;1;1972;;http://globalenergyobservatory.org/select.php;450;702;Natural Gas;Heavy Fuel Oil; 
Berlin-Mite CCGT CHP Power Plant Germany;GEO_44304;{K};Deutschland;52.5116;13.421;1;1996;;http://globalenergyobservatory.org/select.php;444;670;Natural Gas;Light Fuel Oil/Diesel; 
Irsching 3 Power Plant Germany;GEO_44483;{K};Deutschland;48.767;11.58;1;1974;;http://globalenergyobservatory.org/select.php;440;25;Natural Gas;Fuel Oil; 
Herdecke CCGT Power Plant Germany;GEO_44313;{K};Deutschland;51.403;7.4144;1;2007;;http://globalenergyobservatory.org/select.php;417;;Natural Gas;; 
Niehl CCGT CHP Power Plant Germany;GEO_44317;{K};Deutschland;50.9748;6.9888;1;2005;;http://globalenergyobservatory.org/select.php;406;;Natural Gas;Fuel Oil; 
Wedel CHP Power Plant Germany;GEO_44460;{K};Deutschland;53.5667;9.72528;1;1965;;http://globalenergyobservatory.org/select.php;391.7;423;Coal Bituminous;Natural Gas; 
Ludwigshafen Mitte CCGT CHP Power Plant Germany;GEO_44310;{K};Deutschland;49.4988;8.4341;1;1997;;http://globalenergyobservatory.org/select.php;390;540;Natural Gas;; 
Karlsruhe RDK 4s Power Plant Germany;GEO_44471;{K};Deutschland;49.0133;8.3028;1;1998;;http://globalenergyobservatory.org/select.php;365;;Natural Gas;; 
Gustav Knepper Coal Power Plant Germany;GEO_44474;{K};Deutschland;51.5683;7.3489;1;1971;;http://globalenergyobservatory.org/select.php;364;36;oal Bituminous;Natural Gas; 
Wilmersdorf CHP Power Plant Germany;GEO_44332;{K};Deutschland;52.4816;13.3078;1;1976;;http://globalenergyobservatory.org/select.php;330;330;Oil distillate;Natural Gas; 
Nossener Brücke CHP CCGT Power Plant Germany;GEO_44315;{K};Deutschland;51.04206;13.7086;1;1995;;http://globalenergyobservatory.org/select.php;270;;Natural Gas;Light Fuel Oil/Diesel; 
Charlottenburg CHP Power Plant Germany;GEO_44331;{K};Deutschland;52.5222;13.3093;1;1975;;http://globalenergyobservatory.org/select.php;214;300;Natural Gas;Light Fuel Oil/Diesel; 
Werdohl-Elverlingsen E CCGT Power Plant Germany;GEO_6032;{K};Deutschland;51.27724;7.70523;1;1975;;http://globalenergyobservatory.org/select.php;206;;Natural Gas;; 
Klingenberg CHP Coal Power Plant Germany;GEO_43189;{K};Deutschland;52.4889;13.4968;1;1927;;http://globalenergyobservatory.org/select.php;188;1010;Coal Lignite;Natural Gas; 
Freimann CHP Power Plant Germany;GEO_44309;{K};Deutschland;48.1889;11.5957;1;1974;;http://globalenergyobservatory.org/select.php;160;400;Natural Gas;; 
Knapsack CCGT Power Plant Germany;GEO_44472;{K};Deutschland;50.8621;6.8491;1;2013;;http://globalenergyobservatory.org/select.php;;;;; 
Iru CHP Power Plant Estonia;GEO_42154;{K};Estland;59.4514;24.9246;1;1969;;http://globalenergyobservatory.org/select.php;190;398;Natural Gas;Fuel Oil; 
Mussalo Thermal CHP Power Plant Finland;GEO_44258;{K};Finnland;60.4352;26.9118;1;1966;;http://globalenergyobservatory.org/select.php;313;;Coal;Natural Gas; 
Tahkoluoto Thermal CHP Power Plant Finland;GEO_44256;{K};Finnland;61.6322;21.405;1;1976;;http://globalenergyobservatory.org/select.php;235;;;; 
Martinlaakso Thermal CHP Power Plant Finland;GEO_44260;{K};Finnland;60.2833;24.8364;1;1975;;http://globalenergyobservatory.org/select.php;195;330;Coal;Natural Gas; 
DK6 (Dunkerque) CCGT Gas Power Plant France;GEO_2947;{K};Frankreich;51.04816;2.32547;1;2005;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;Furnace Gas; 
Bouchain CCGT Power Plant France;GEO_45599;{K};Frankreich;50.2987;3.3156;1;2016;;http://globalenergyobservatory.org/select.php;575;;Natural Gas;; 
Fos-sur-Mer CCGT Power Plant France;GEO_3211;{K};Frankreich;43.437;4.9056;1;2009;;http://globalenergyobservatory.org/select.php;480;;Natural Gas;; 
Croix de Metz-Toul CCGT Power Plant France;GEO_45605;{K};Frankreich;48.675;5.8917;1;2013;;http://globalenergyobservatory.org/select.php;413;;Natural Gas;; 
Pont-Sur-Sambre Combustion Gas Power Plant France;GEO_4844;{K};Frankreich;50.23084;3.8653;1;2009;;http://globalenergyobservatory.org/select.php;412;;Natural Gas;; 
Bayet CCGT Power Plant France;GEO_45400;{K};Frankreich;46.2731;3.3007;1;2011;;http://globalenergyobservatory.org/select.php;408;;Natural Gas;; 
Megalopolis V CCPP Power Plant Greece;GEO_46122;{K};Griechenland;37.41415;22.06626;1;2016;;http://globalenergyobservatory.org/select.php;811;;Natural Gas;; 
Lavario Megalo CCGT Power Plant Greece;GEO_42775;{K};Griechenland;37.7464;24.065;1;1997;;http://globalenergyobservatory.org/select.php;570;;Natural Gas;Light Fuel Oil/Diesel; 
Komotini CCGT Power Plant Greece;GEO_42769;{K};Griechenland;41.0645;25.4895;1;2001;;http://globalenergyobservatory.org/select.php;485;;Natural Gas;; 
Lavario Thermal Power Plant Greece;GEO_42777;{K};Griechenland;37.7464;24.067;1;1972;;http://globalenergyobservatory.org/select.php;450;;Natural Gas;Fuel Oil; 
Korinthos Power CCGT Power Plant Greece;GEO_42786;{K};Griechenland;37.9168;23.0694;1;2011;;http://globalenergyobservatory.org/select.php;437;;Natural Gas;; 
Heron-II CCGT Power Plant Greece;GEO_42770;{K};Griechenland;38.2792;23.3299;1;2010;;http://globalenergyobservatory.org/select.php;435;;Natural Gas;; 
Protergia CCGT Power Plant Greece;GEO_42785;{K};Griechenland;38.3585;22.6883;1;2011;;http://globalenergyobservatory.org/select.php;430;;Natural Gas;; 
Thisvi CCGT Power Plant Greece;GEO_42773;{K};Griechenland;38.2369;22.949;1;2010;;http://globalenergyobservatory.org/select.php;420;;Natural Gas;Light Fuel Oil/Diesel; 
Thessaloniki CCGT Power Plant Greece;GEO_42772;{K};Griechenland;40.6872;22.885;1;2005;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;Light Fuel Oil/Diesel; 
Lavario-V CCGT Power Plant Greece;GEO_42774;{K};Griechenland;37.745;24.068;1;2006;;http://globalenergyobservatory.org/select.php;378;;Natural Gas;; 
Aglos Georgios Thermal Power Plant Greece;GEO_42768;{K};Griechenland;37.9539;23.61037;1;1968;;http://globalenergyobservatory.org/select.php;360;;Natural Gas;Fuel Oil; 
Distomo CCGT Heat and Power Plant Greece;GEO_42784;{K};Griechenland;38.3585;22.6894;1;2007;;http://globalenergyobservatory.org/select.php;316;252;Natural Gas;; 
Heron-I OCGT Power Plant Greece;GEO_42771;{K};Griechenland;38.2801;23.3264;1;2004;;http://globalenergyobservatory.org/select.php;148;;Natural Gas;Light Fuel Oil/Diesel; 
Thermie Serres CHP Power Plant Greece;GEO_42780;{K};Griechenland;41.0634;23.5184;1;2007;;http://globalenergyobservatory.org/select.php;16;91.5;Natural Gas;; 
Didcot A Coal Power Plant UK (Shutdown);GEO_2928;{K};Grossbritannien;51.62363;-1.26757;1;1968;2013;http://globalenergyobservatory.org/select.php;2000;;Coal;Natural Gas; 
Pembroke CCGT Power Station UK;GEO_4743;{K};Grossbritannien;51.685;-4.99;1;2011;;http://globalenergyobservatory.org/select.php;2000;;Natural Gas;; 
Teesside CCGT and Heat Power Station UK;GEO_5676;{K};Grossbritannien;54.575519;-1.127558;1;1993;;http://globalenergyobservatory.org/select.php;1825;;Natural Gas;Naptha; 
Connahs Quay CCGT Power Station;GEO_2756;{K};Grossbritannien;53.231703;-3.081493;1;1997;;http://globalenergyobservatory.org/select.php;1420;;Natural Gas;; 
Didcot B CCGT Power Station UK;GEO_2929;{K};Grossbritannien;51.6246;-1.2683;1;1997;;http://globalenergyobservatory.org/select.php;1360;;Natural Gas;; 
West Burton CCGT Power Plant UK;GEO_44588;{K};Grossbritannien;53.3631;-0.7976;1;2012;;http://globalenergyobservatory.org/select.php;1305;;Natural Gas;; 
Grain CCHGT Power Station UK;GEO_3365;{K};Grossbritannien;51.4444;0.7114;1;2010;;http://globalenergyobservatory.org/select.php;1275;;Natural Gas;; 
South Humber Bank CCGT Power Station UK;GEO_5469;{K};Grossbritannien;53.600782;-0.144625;1;1997;;http://globalenergyobservatory.org/select.php;1260;;Natural Gas;; 
Saltend CCGT Power Station UK;GEO_5231;{K};Grossbritannien;53.734802;-0.243416;1;2000;;http://globalenergyobservatory.org/select.php;1200;;Natural Gas;; 
Seabank 1 and 2 CCGT Power Station UK;GEO_5298;{K};Grossbritannien;51.5392;-2.67;1;2000;;http://globalenergyobservatory.org/select.php;1145;;Natural Gas;; 
Peterhead CCGT Power Station Scotland;GEO_4765;{K};Grossbritannien;57.477213;-1.788879;1;;;http://globalenergyobservatory.org/select.php;1070;;Natural Gas;; 
Barking CCGT Power Station UK;GEO_2248;{K};Grossbritannien;51.521;0.147;1;1995;;http://globalenergyobservatory.org/select.php;1000;;Natural Gas;Light Fuel Oil/Diesel; 
Fort Dunlop Power Station;GEO_3203;{K};Grossbritannien;52.509966;-1.808281;1;1999;;http://globalenergyobservatory.org/select.php;1000;;Natural Gas;; 
Killingholme B CCGT Power Station UK;GEO_3849;{K};Grossbritannien;53.653541;-0.255604;1;1993;;http://globalenergyobservatory.org/select.php;900;;Natural Gas;National Grid; 
Langage CCGT Power Plant UK;GEO_3998;{K};Grossbritannien;50.388219;-4.011759;1;2009;;http://globalenergyobservatory.org/select.php;885;;Natural Gas;National Grid; 
Spalding CCGT Power Station;GEO_5493;{K};Grossbritannien;52.807811;-0.132164;1;2004;;http://globalenergyobservatory.org/select.php;860;;Natural Gas;; 
Severn CCGT Power Plant UK;GEO_44587;{K};Grossbritannien;51.5475;-2.975;1;2010;;http://globalenergyobservatory.org/select.php;848;;Natural Gas;; 
Marchwood CCGT Power Plant UK;GEO_44589;{K};Grossbritannien;50.8998;-1.4384;1;2009;;http://globalenergyobservatory.org/select.php;842;;Natural Gas;; 
Sutton Bridge CCGT Power Station. UK;GEO_5612;{K};Grossbritannien;52.7579;0.1923;1;1999;;http://globalenergyobservatory.org/select.php;819;;Natural Gas;; 
Damhead Creek CCGT Power Station. UK;GEO_2860;{K};Grossbritannien;51.424915;0.601426;1;2001;;http://globalenergyobservatory.org/select.php;792;;Natural Gas;; 
Coryton CCGT Power Station UK;GEO_2781;{K};Grossbritannien;51.511854;0.507903;1;2001;;http://globalenergyobservatory.org/select.php;779;;Natural Gas;; 
Immingham CHP Power Station. UK;GEO_3638;{K};Grossbritannien;53.636827;-0.23773;1;2004;;http://globalenergyobservatory.org/select.php;750;;Natural Gas;; 
Rocksavage CCHP Power Station. UK;GEO_5152;{K};Grossbritannien;53.314724;-2.723236;1;1998;;http://globalenergyobservatory.org/select.php;750;;Natural Gas;; 
Rye House CCGT Power Station;GEO_5191;{K};Grossbritannien;51.762608;0.00942;1;1993;;http://globalenergyobservatory.org/select.php;715;;Natural Gas;; 
Medway CCGT Power Station. UK;GEO_4239;{K};Grossbritannien;51.439564;0.689392;1;1995;;http://globalenergyobservatory.org/select.php;688;;Natural Gas;; 
Little Barford CCGT Power Station;GEO_4053;{K};Grossbritannien;52.204609;-0.269294;1;1995;;http://globalenergyobservatory.org/select.php;680;;Natural Gas;; 
Killingholme A CCGT Power Station UK;GEO_3848;{K};Grossbritannien;53.6592;-0.256;1;1994;;http://globalenergyobservatory.org/select.php;665;;Natural Gas;; 
Ballylumford C CCGT Power Station Northern Ireland;GEO_2233;{K};Grossbritannien;54.8428;-5.7853;1;2003;;http://globalenergyobservatory.org/select.php;600;;Natural Gas;Light Fuel Oil/Diesel; 
Ballylumford B Thermal Power Station Northern Ireland;GEO_43945;{K};Grossbritannien;54.845;-5.787;1;1974;;http://globalenergyobservatory.org/select.php;540;;Natural Gas;Light Fuel Oil/Diesel; 
Balgan Bay CCGT Power Station;GEO_2231;{K};Grossbritannien;51.614526;-3.835173;1;2003;;http://globalenergyobservatory.org/select.php;525;;Natural Gas;; 
Deeside CCGT Power Station. UK;GEO_2889;{K};Grossbritannien;53.23318;-3.054693;1;1994;;http://globalenergyobservatory.org/select.php;498;;Natural Gas;; 
Great Yarmouth CC Power Station;GEO_3389;{K};Grossbritannien;52.583948;1.733807;1;2002;;http://globalenergyobservatory.org/select.php;420;;Natural Gas;; 
