id;comment;comp_id;start_year;end_year;source;license;operator_name;pipe_name;is_H_gas;max_cap_M_m3_per_h;max_pressure_bar;max_power_MW;num_turb;turbine_fuel_isGas_1;turbine_type_1;turbine_power_1_MW;turbine_fuel_isGas_2;turbine_type_2;turbine_power_2_MW;turbine_fuel_isGas_3;turbine_type_3;turbine_power_3_MW;turbine_fuel_isGas_4;turbine_type_4;turbine_power_4_MW;turbine_fuel_isGas_5;turbine_type_5;turbine_power_5_MW;turbine_fuel_isGas_6;turbine_type_6;turbine_power_6_MW
Laprade;;Laprade;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lippe;;Lippe;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Lippe;;GASCADE;;1;1.15;100;40.8;3;1;SGT-400;12.9;1;SGT-400;12.9;1;SGT-400;15;;;;;;;;;
Lockerley;;Lockerley;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lozenets;;Lozenets;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Lubmin;;Lubmin;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Greifswald;;GASCADE;NEL,OPAL;1;;105;76;;;;;;;;;;;;;;;;;;;
Malbroghetto;Compressor;Malbroghetto;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mallnow;;Mallnow;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Mallnow;;GASCADE;Jagal;1;3.34;100;96.2;4;1;FT8;25.4;1;FT8;25.4;1;FT8;25.4;1;FT8;20;;;;;;
Mantsala;;Mantsala;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
MaraisVernier;;MaraisVernier;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mazerolles;;Mazerolles;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Melizzano;;Melizzano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mellitah;;Mellitah;;;;;;Greenstream;1;;;;;;;;;;;;;;;;;;;;;;
MerySurCher;;MerySurCher;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Messina;;Messina;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Minskaya;;Minskaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
MittelbrunnMEGAL;;MittelbrunnMEGAL;;;;;;MEGAL;1;;;;;;;;;;;;;;;;;;;;;;
MittelbrunnTENP;;MittelbrunnTENP;;;;;OpenGridEurop;TENP;1;;;;;;;;;;;;;;;;;;;;;;
Moffat;;Moffat;1980;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;38.6;2;1;Rolls-Royce RB211s;;1;Rolls-Royce RB211s;;;;;;;;;;;;;
Montauban;;Montauban;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Montesa;;Montesa;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Montesano;;Montesano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Mosonmagyarovar;;Mosonmagyarovar;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Navarra;;Navarra;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
NeaMessimvria;;NeaMessimvria;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nemesbikk;;Nemesbikk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nesvizh;;Nesvizh;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nozay;;Nozay;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Oberkappel;Neustift;Oberkappel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Odolanow;;Odolanow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Olbernhau;;Olbernhau;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Olbernhau;;GASCADE;STEGAL;1;0.83;90;31.8;3;1;THM;9.45;1;THM;9.45;1;THM;12.9;;;;;;;;;
Olbio;;Olbio;;;;;;GALSI;1;;;;;;;;;;;;;;;;;;;;;;
Oldeboorn;;Oldeboorn;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ommen;;Ommen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Orlovka;;Orlovka;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Orshan;Orsha;Orshan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Oslavou;;Oslavou;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Palleau;;Palleau;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Paterna;;Paterna;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Peterborough;;Peterborough;1972;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;35.4;3;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;
Petrich;;Petrich;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Pitgam;;Pitgam;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Pnevezys;;Pnevezys;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Podisor;;Podisor;2019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
PoggioRenatico;;PoggioRenatico;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
PolskiSenovets;;PolskiSenovets;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Portovaya;Portovaya Bay /Vyborg;Portovaya;;;https://www.gazprom.com/f/posts/86/569604/portovaya_eng.pdf;;;;1;8;220;360;6;;;52;;;52;;;52;;;52;;;52;;;52
Porz;;Porz;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Porz;;OpenGridEurop;;1;2;;100;;;;;;;;;;;;;;;;;;;
Provadiya;;Provadiya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Puertollano;;Puertollano;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
PuthSchinnen;;PuthSchinnen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Radeland_1;Baruth;Radeland;;;https://www.gascade.de/en/our-network/compressor-stations/radeland/;;;;1;;100;99.1;3;1;SGT 700;31.7;1;SGT 700;33.7;1;SGT 700;33.7;;;;;;;;;
Radeland_2;;Radeland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Radeland;;GASCADE;Opal;1;3.6;;;;;;;;;;;;;;;;;;;;;
Rainbach;im Muhlkreis;Rainbach;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ravenstein;;Ravenstein;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Reckrod;;Reckrod;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Reckrod;;GASCADE;STEGAL,MIDAL;1;1.9;90;;5;1;THM/FT8;3;1;THM/FT8;12.6;1;THM/FT8;12.6;1;THM/FT8;12.6;1;THM/FT8;25.4;;;
Rehden;;Rehden;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Rehden;;GASCADE;NEL,RHG,MIDAL;1;2.1;100;;2;0;;11;0;;11;;;;;;;;;;;;
Rimpar;;Rimpar;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Rimpar;;OpenGridEurop;;1;;;;3;1;;13;1;;13;1;;;;;;;;;;;
Rixfeld_1;Herbstein;Rixfeld;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Rixfeld;;OpenGridEurop;;1;;;39;3;1;;13;1;;13;1;;13;;;;;;;;;
Rixfeld_2;;Rixfeld;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Herbstein;;;;1;;;39;3;1;Titan 130;13;1;Titan 130;13;1;Titan 130;13;;;;;;;;;
Rohatyn;;Rohatyn;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Rososh;;Rososh;;;;;;;1;8.333;;;;;;;;;;;;;;;;;;;;;
Rothenstadt;;Rothenstadt;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Rothenstadt;;OpenGridEurop;MEGAL;1;;;45;3;1;;;1;;;1;;;;;;;;;;;
Roussines;;Roussines;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ruden;;Ruden;;;;;;TAG;1;;;;;;;;;;;;;;;;;;;;;;
Rueckersdorf;;Rueckersdorf;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Rueckersdorf;;GASCADE;JAGAL,STEGAL;1;2.2;100;;3;1;FT8;25.4;1;FT8;25.4;1;FT8;25.4;;;;;;;;;
Russkaya;;Russkaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ruswil;;Ruswil;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
SanSalvoFlumeTreste;;SanSalvoFlumeTreste;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Sayda;;Sayda;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Sayda;;ONTRAS;;1;;;;;;;;;;;;;;;;;;;;;;
Scheemda;;Scheemda;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Schwarzach;;Schwarzach;;;;;OpenGridEurop;TENP;1;;;;;;;;;;;;;;;;;;;;;;
Scunthorpe;;Scunthorpe;1973;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;23.6;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
Sergnano;;Sergnano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Settala;;Settala;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Sevilla;;Sevilla;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Silistea;;Silistea;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Slavyanskaya;Ust-Luga port;Slavyanskaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Slonim;;Slonim;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Smolensk;;Smolensk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Spijk;;Spijk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
StArnoultDesBois;;StArnoultDesBois;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Stavischenskaya;;Stavischenskaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
StFergusC_1;;StFergusC1;;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;47.2;4;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;
StFergusC_2;;StFergusC2;;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;65.3;5;1;Rolls-Royce Maxi Avons;;1;Rolls-Royce Maxi Avons;;1;Rolls-Royce RB211s;;1;Rolls-Royce RB211s;;1;Rolls-Royce RB211s;;;;
StMartinDeCrau;;StMartinDeCrau;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Stolberg;Schwarzenbruch;Stolberg;;;;;OpenGridEurop;TENP;1;;;;;;;;;;;;;;;;;;;;;;
Strandja;;Strandja;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
StutenseeBlankenloch;;StutenseeBlankenloch;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
StVictor;;StVictor;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Szamotuly;;Szamotuly;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Talnoe;;Talnoe;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Tarsia;;Tarsia;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
TerranuovaBracciolini;Terranuova Bracciolini;TerranuovaBracciolini;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Tivisa;;Tivisa;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Toulouse;;Toulouse;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
ValchiDol;;ValchiDol;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Varosfoeld;;Varosfoeld;;;;;;;1;;;;1;;;3;;;;;;;;;;;;;;;
VelikaLudina;;VelikaLudina;2019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
VelkeKapusany;;VelkeKapusany;;;https://www.eustream.sk/en_transmission-system/en_transmission-system;;;;1;8.125;;300;;;;;;;;;;;;;;;;;;;
VeseliNadLuznici;;VeseliNadLuznici;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
VillarDeArnedo;;VillarDeArnedo;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Vindecy;;Vindecy;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Voisines;;Voisines;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Volovets;;Volovets;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Vulkaneshty;;Vulkaneshty;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Waidhaus;;Waidhaus;;;;;;MEGAL;1;;;;;;;;;;;;;;;;;;;;;;
Wardenburg;;Wardenburg;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Wardenburg;;EON;NETRA;1;;90;;;;;;;;;;;;;;;;;;;;
Warrington;;Warrington;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Weeide;;Weeide;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Weisweiler;;Weisweiler;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Weisweiler;;GASCADE;WEDAL;1;0.85;100;37.5;3;0;;12.5;0;electric;12.5;0;electric;12.5;;;;;;;;;
Weitendorf;;Weitendorf;;;;;;TAG;1;;;;;;;;;;;;;;;;;;;;;;
Wildenranna;;Wildenranna;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Winksele;;Winksele;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Wisbech;;Wisbech;1980;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;32.6;2;1;Rolls-Royce RB211;;1;gas Rolls-Royce Maxi Avon;;;;;;;;;;;;;
Wloclawek;;Wloclawek;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Wooler;;Wooler;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Wormington;;Wormington;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zambrow;;Zambrow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zamora;;Zamora;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zaragoza;;Zaragoza;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zelzate;;Zelzate;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zweekhorst;;Zweekhorst;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
