id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;max_workingGas_M_m3;max_workingGas_TWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_GWh_per_d;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[M Nm^3];[TWh];[M m^3/d];[GWh/d];[GWh/d];[]
7Fields;7Fields, Storage Capacity connected to Germany and Austria;7Fields;2011;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;;19.415;;242.7;161.8;nTPA
Aigelsbrunn;Aigelsbrunn;Aigelsbrunn;2011;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;1;RAG.Energy.Storage;;1.47;;13.6;13.6;nTPA
Aldbrough1;Aldbrough_1;Aldbrough1;2009;;http://sse.com/whatwedo/wholesale/gasstorage/;;Salz Kaverne;;1;SSE;;2.0819;;342;311;No TPA
Aldbrough2;Aldbrough_2;Aldbrough2;2999;;http://sse.com/whatwedo/ourprojectsandassets/thermal/Aldbrough/;;Salz Kaverne;;1;SSE;;0.55;;0;0;No TPA
Alfonsine;Alfonsine;Alfonsine;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;1.6359;;27.3;27.3;rTPA
Alkmaar;"Alkmaar, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";Alkmaar;1997;;http://www.taqaglobal.com/our-regions/netherlands/gas-storage/peak-gas-installation/overview?sc_lang=en;;Leeres Gas Feld;;1;TAQA Energy BV;;4.9514;;356.5;39.6;No TPA
Allmenhausen;Allmenhausen;Allmenhausen;1996;;http://www.thueringerenergie.de/Unternehmen/Ueber_uns/Geschaeftsfelder/Speicher.aspx;;Leeres Gas Feld;;1;TEP (Thueringer Energie Speichergesellschaft);62;0.688;1.488;16.5;8.8;nTPA
AlsaceSud;Alsace Sud;AlsaceSud;2022;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;1;Storengy;;2.28;;109.4;34.2;nTPA
Atwick;Atwick;Atwick;2999;;;;Salz Kaverne;;1;;;2.614;;;;
BadLauchstaedt_1;Bad Lauchstaedt;BadLauchstaedt;1975;;https://www.vng-gasspeicher.de/storage_locations;;Salt cavern;;1;VNG Gasspeicher;440;;5.712;;;nTPA
BadLauchstaedt_2;Bad Lauchstaedt;BadLauchstaedt;2020;;;;;;;;65;;;;;
BadLauchstaedt_3;Bad Lauchstaedt;BadLauchstaedt;;;;;;;;;955;;22.08;;;
BagnoloMella;Bagnolo Mella;BagnoloMella;2999;;http://www.edisonstoccaggio.it/en;;Leeres Feld;;1;Edison Stoccaggio;;0.968;;6.6;6.6;rTPA
Balaceanca;Balaceanca;Balaceanca;1992;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;0.5407;;6.6;5.4;rTPA
BanatskiDvor_1;BanatskiDvor;BanatskiDvor;2011;;http://www.srbijagas.com/naslovna.1.html;;Leeres Gas Feld;;1;Srbijagas;450;4.95;;55;38.5;rTPA
BanatskiDvor_2;BanatskiDvor;BanatskiDvor;2017;;http://www.srbijagas.com/naslovna.1.html;;Leeres Gas Feld;;1;Srbijagas;;3.85;;55;22;rTPA
Bergermeer;Bergermeer;Bergermeer;2015;;http://www.gasstoragebergermeer.com/gas-storage-bergermeer-2/;;Leeres Gas Feld;;1;TAQA Energy BV;;45.6;;634.5;467.8;nTPA
Berlin;Berlin;Berlin;1992;;http://www.berliner-erdgasspeicher.de/en/Pages/default.aspx;;Aquifer;;1;BES (Berliner Erdgasspeicher);180;1.665;5.4;59.9;32;nTPA
Bernburg;Bernburg;Bernburg;1974;;http://www.vng-gasspeicher.de/content/en/Speicher/index.html;;Salz Kaverne;;1;VNG Gasspeicher;1039;;24;;;nTPA
Beynes;Beynes;Beynes;1956;;https://www.storengy.com/countries/france/en/nos-sites/beynes.html;;;1;1;Storengy;;13.195;;;;
Bierwang;Bierwang;Bierwang;1975;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;1450;10.08;28.8;349.4;268.8;nTPA
Bilciuresti;Bilciuresti;Bilciuresti;1983;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;14.0327;;170.7;139.1;rTPA
Bonikowo_1;Bonikowo;Bonikowo;2010;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres Feld;;1;PGNiG;;2.3;;27.6;19.3;No TPA
Bordolano_2;Bordolano;Bordolano;2016;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Bordolano_3;Bordolano;Bordolano;2019;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;8.7248;;185.4;163.6;rTPA
Breitbrunn;Breitbrunn;Breitbrunn;1996;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;1080;11.11;12.48;139.8;67.2;nTPA
BruggrafBernsdorf;BruggrafBernsdorf;BruggrafBernsdorf;1970;;https://www.ontras.com/fileadmin/user_upload/Dokumente_Download/Publikationen/ONTRAS_Netzpufferanlage_Burggraf_Bernsdorf.pdf;;Salz Kaverne;;1;Ontras Gastransport;3;0.0345;0.96;0;0;No TPA
Brugherio;Brugherio;Brugherio;1966;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Brzeznica_1;Brzeznica;Brzeznica;1979;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;0.7313;;10.4;12.4;rTPA
Brzeznica_1;Brzeznica;Brzeznica;2017;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;0.3938;;5.7;3.8;rTPA
Buchholz;Buchholz;Buchholz;;2023;https://www.energiefachmagazin.de/Branchen-News/VNG-Gasspeicher-GmbH-legt-Erdgasspeicher-Buchholz-still;;;;1;VNG Gasspeicher;175;;1.92;;;
Carrico_1;Carrico;Carrico;2003;;https://www.ign.ren.pt/en/armazenamento-subterraneo3;;Salz Kaverne;;1;REN Armazenagen;239;3.57;;85;24;rTPA
Carrico_2;Carrico;Carrico;2017;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;1;REN Armazenagen;;0;;0;8.2;rTPA
Carrico_3;Carrico;Carrico;2022;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;1;REN Armazenagen;;0.69;;0;0;rTPA
Caythorpe;Caythorpe;Caythorpe;2999;;http://www.caythorpegasstorage.com/caythorpe/;;Leeres Gas Feld;;1;Centrica Storage;;2.3371;;0;0;nTPA
Cellino;Cellino;Cellino;1984;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;1.2793;;9;9;rTPA
CereLaRonde;CereLaRonde;CereLaRonde;1993;;https://www.storengy.com/countries/france/en/nos-sites/cere-la-ronde.html;;Aquifer;1;1;Storengy;;13.362;;;;nTPA
Cerville;Cerville;Cerville;1970;;http://www.storengy.com/countries/france/en/;;Aquifer;1;1;Storengy;;16.7;;;;nTPA
CetateaDeBalta;Cetatea de Balta;CetateaDeBalta;;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;1.0481;;12.4;10.1;rTPA
Chemery;Chemery;Chemery;1968;;http://www.storengy.com/countries/france/en/;;Aquifer;1;1;Storengy;;0.08;;;;nTPA
Chiren_1;Chiren;Chiren;1974;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;1;Bulgartransgaz;;6.27;;47.9;47.9;rTPA
Chiren_2;Chiren;Chiren;2021;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;1;Bulgartransgaz;;9.7698;;66.1;66.1;rTPA
Collalto;Collalto;Collalto;1994;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;6.1322;;84.6;68.7;rTPA
Cornegliano;Cornegliano;Cornegliano;2017;;http://italgasstorage.it/eng/progetto.html;;Leeres Gas Feld;;1;Ital Gas Storage;;24.2;;297;297;rTPA
Cortemaggiore;Cortemaggiore;Cortemaggiore;1964;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
CugnoLeMacine;CugnoLeMacine;CugnoLeMacine;2999;;http://www.geogastock.it/ITA/Home.asp;;Leeres Feld;;1;Geogastock;;8.8;;110;110;rTPA
Damaslawek;Damaslawek;Damaslawek;2026;;http://en.gaz-system.pl//;;Salz Kaverne;;1;GAZ-SYSTEM S.A.;;5.0342;;200;100;rTPA
Damboice;Damboice;Damboice;2016;;http://www.mnd.eu/en/2014-11-26-12-13-02/mnd-group-companies;;Leeres Gas Feld;;1;Moravia Gas Storage;;4.7519;;74.2;42.4;nTPA
Daszewo_1;Daszewo;Daszewo;2009;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;1;PGNiG;;0.345;;4.4;2.8;No TPA
Daszewo_2;Daszewo;Daszewo;2999;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;1;PGNiG;;0.345;;11.5;11.5;No TPA
Deborah;Deborah;Deborah;2999;;;;Leeres Feld;;0;ENI;;50.6;;0;0;nTPA
DolniBojanovice_1;Dolni Dunajovice;DolniBojanovice;1989;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;1;innogy Gas Storage;;;;;;nTPA
DolniBojanovice_2;Dolni Bojanovice;DolniBojanovice;1999;;http://www.sppstorage.cz/#;;Leeres ?l/Gas Feld;;1;SPP Storage;;6.012;;93.9;73.1;nTPA
Elsfleth_EWE;;Elsfleth_EWE;;;;;;;;;;;;;;
Empelde_1;Empelde;Empelde;1982;;http://www.gasspeicher-hannover.de/startseite.html;;Salz Kaverne;;1;Gasspeicher Hannover;284;3.082;8.64;140.8;44.2;nTPA
Empelde_2;Empelde;Empelde;2020;;;;;;;;100;;;;;
EnergyStock;EnergyStock;EnergyStock;2011;;http://www.energystock.com/;;Salt cavern;;1;EnergyStock BV;;2.774;;252;215;nTPA
EpeH_1;Epe Uniper H-Gas;Epe_Uniper_H;1976;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;1;1;Uniper Energy Storage;;16.538;;469.2;331.2;nTPA
EpeH_10;Epe-ZES;Epe_ZES;2020;;;;;1;;Zechstein Energy Storage GmbH;177;;;;;
EpeH_2;Epe innogy H-Gas;Epe_innogy_H;1990;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;1;1;RWE;523;4.767;20.88;238.2;76.7;nTPA
EpeH_3;Epe innogy NL;Epe_innogy_NL;2006;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;1;1;RWE;313;2.9863;12;118.2;47.3;nTPA
EpeH_4;Epe Nuon;Epe_Nuon;2007;;http://corporate.vattenfall.com/about-vattenfall/operations/market-transparency/gas-storage/;;Salz Kaverne;1;1;Nuon;;3.338;;141.6;85;nTPA
EpeH_5;Epe Trianel;Epe_Trianel;2008;;http://www.trianel-gasspeicher.com/;;Salz Kaverne;1;1;Trianel;204;2.2905;14.4;165.7;82.9;nTPA
EpeH_6;Epe Eneco;Epe_Eneco;2012;;https://www.eneco.nl/over-ons/projecten/gasspeicher/voorraadniveau;;Salz Kaverne;1;1;Eneco;94;1.4352;9.6;93.6;93.6;nTPA
EpeH_7;Epe KGE;Epe_KGE;2012;;http://www.kge-gasspeichergesellschaft.de/;;Salz Kaverne;1;1;Kommunale Gasspeichergesellschaft Epe;140;2.2116;7.2;109.4;41;nTPA
EpeH_8;Epe-E.ON;Epe_EON;2020;;;;;1;;E.ON Gas Storage GmbH;50;;;;;
EpeH_9;Epe-KGE;Epe_KGE;2020;;;;;1;;Kommunale Gasspeichergesellschaft Epe;59;0.441;;14.3;5.4;nTPA
EpeL_1;Epe Uniper L-Gas;Epe_Uniper_L;1976;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;0;1;Uniper Energy Storage;;4.096;;282.2;82.3;nTPA
EpeL_2;Epe innogy L-Gas;Epe_innogy_L;2012;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;0;1;RWE;90;1.8503;9.6;96.6;48.3;nTPA
Eschenfelden;Eschenfelden;Eschenfelden;1976;;https://www.n-ergie.de/geschaeftskunden/produkte/erdgas/erdgasspeicher.html;;Aquifer;;1;N-ERGIE;72;0.276;3.12;7.2;2.7;nTPA
Etrez_1;Etrez;Etrez;2022;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;1;1;Storengy;;0.68;;45.6;0;nTPA
Etzel_1;Etzel EGL 1+2;Etzel_EGL_1_2;1993;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;1;Uniper Energy Storage;1248;11.548;31.68;361.2;202.5;nTPA
Etzel_2;Etzel Crystal;Etzel_Crystal;2012;;https://www.enbw.com/unternehmen/konzern/geschaeftsfelder/speicher/gasspeicher/zahlen-daten-fakten.html;;Salz Kaverne;;1;Crystal, Friedeburger Speicherbetriebsgesellschaft;400;2.421;14.4;94.1;54;nTPA
Etzel_3;Etzel EKB;Etzel_EKB;2012;;http://www.ekb-storage.de/de/home/;;Salz Kaverne;;1;EKB (Etzel-Kavernenbetriebsgesellschaft);651;8.326;16.8;220.8;124.2;nTPA
Etzel_4;Etzel ESE;Etzel_ESE;2012;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;1;Uniper Energy Storage;2210;13.144;54;396.7;427.4;nTPA
Etzel_5;Etzel-IVG;Etzel_IVG;2020;;;;;;;IVG Caverns GmbH;2200;;;;;
FiumeTreste_1;Fiume Treste;FiumeTreste;1982;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
FiumeTreste_2;Fiume Treste;FiumeTreste;2021;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;2.1812;;0;0;rTPA
FiumeTreste_3;Fiume Treste F;FiumeTreste;2021;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;2.1812;;43.6;43.6;rTPA
Frankenthal;Frankenthal;Frankenthal;1979;;https://www.enovos.de/industrie/ueber-uns/erdgasspeicher;;Aquifer;;1;Enovos Storage;90;0.888;3.12;26.6;6.5;nTPA
Fronhofen;Fronhofen;Fronhofen;1997;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;1;storengy Deutschland;15;0.1327;0.84;8;5.4;nTPA
Galata_1;Galata;Galata;2999;;http://www.petroceltic.com/operations/bulgaria.aspx;;Leeres Gas Feld;;0;Petroceltic;;7.98;;0;0;rTPA
Galata_2;Galata;Galata;2999;;http://www.petroceltic.com/operations/bulgaria.aspx;;Leeres Gas Feld;;0;Petroceltic;;5.7;;0;0;rTPA
Gatchinskoye;Gatchinskoye;Gatchinskoye;1963;;http://www.gazprom.com/about/production/underground-storage/;;Aquifer;;1;Gazprom;;2.206;;22.1;19.9;
Gateway;Gateway;Gateway;2999;;http://www.gatewaystorage.co.uk/;;Salz Kaverne;;0;Gateway Storage;;15.8483;;0;0;nTPA
Gaviota_1;Gaviota;Gaviota;1993;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;0;Enagas;;18.34;;66.3;52.3;rTPA
Gaviota_2;Gaviota;Gaviota;2999;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;0;Enagas;;6.7454;;107;62.8;rTPA
GermignySousCoulombs;GermignySousCoulombs;GermignySousCoulombs;1982;;http://www.storengy.com/countries/france/en/;;Aquifer;1;1;Storengy;;0.03;;;;nTPA
Ghercesti;Ghercesti;Ghercesti;2004;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;1.5861;;18.9;15.4;rTPA
GournaySurAronde;GournaySurAronde;GournaySurAronde;1976;;http://www.storengy.com/countries/france/en/;;Aquifer;;1;Storengy;;13.1;;246.8;105.1;nTPA
Grijpskerk;"Grijpskerk, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";Grijpskerk;1997;;http://www.nam.nl/en/about-nam/facts-and-figures.html;;Leeres Gas Feld;;1;NAM;;27.6667;;719.3;172.9;No TPA
GrubisnoPolje;Grubisno Polje;GrubisnoPolje;2020;;http://www.psp.hr/home;;Leeres Gas Feld;;1;PSP;;0.6;;22;15;rTPA
GSDVirtualGasStorageDK;GSD virtual gas storage;GSDVirtualGasStorageDK;;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Aquifer;;1;Gas Storage Denmark;;12.3;;196.8;100.8;nTPA
Haehnlein;Haehnlein;Haehnlein;1960;;http://mndgsgermany.com/;;Aquifer;;1;MND Gas Storage Germany;80;0.904;2.4;27.1;16.3;nTPA
HaidachStorage_1;Haidach 5;HaidachStorage_RAG;2006;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;1;RAG.Energy.Storage;;0.181;;5.4;5.4;nTPA
HaidachStorage_2;Haidach, Storage Capacity solely connected to Germany;HaidachStorage_Astora;2007;;https://www.astora.de/storage-locations/haidach-storage-facility.html?L=1;;Leeres Gas Feld;;1;astora;;10.4435;;104.6;90.2;nTPA
HaidachStorage_3;Haidach,Storage Capacity solely connected to Germany;HaidachStorage_GSA;2007;;http://www.gsa-services.ru/;;Leeres Gas Feld;;1;GSA;;19.5536;;195.5;177.8;nTPA
Hajduszoboszlo;Hajduszoboszlo;Hajduszoboszlo;1981;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;1;Hungarian Gas Storage;;17.4042;;210.1;109.3;rTPA
Harsefeld;Harsefeld;Harsefeld;1992;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salt cavern;;1;storengy Deutschland;127;1.263;7.2;81.7;24.6;nTPA
HatfieldMoor;HatfieldMoor;HatfieldMoor;2000;;http://www.scottishpower.com/pages/hatfield_moor_gas_storage_facility.asp;;Leeres Gas Feld;;1;Scottish Power;;1.254;;19.8;29;No TPA
Hauterives;Hauterives;Hauterives;2999;;https://www.storengy.com/countries/france/en/nos-sites/manosque.html;;Salz Kaverne;;1;Storengy;;1.14;;91.2;22.8;nTPA
HillTopFarm_1;HillTopFarm;HillTopFarm;2015;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;1;EDF Energy;;0.22;;23.1;60.5;No TPA
HillTopFarm_2;HillTopFarm;HillTopFarm;2017;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;1;EDF Energy;;0.869;;141.9;0;No TPA
HJe;Hÿje;HJe;1998;;https://www.innogy-gasstorage.cz/en/index/;;Stein Kaverne;;1;innogy Gas Storage;;;;;;nTPA
HoleHouseFarm;Hole House Farm;HoleHouseFarm;2001;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;1;EDF Energy;;0.55;;121;118.8;No TPA
Holford;Holford;Holford;2012;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3437.htm?rdeLocaleAttr=en;;Salz Kaverne;;1;Holford Gas Storage (Uniper Energy Storage);;1.8197;;238.3;238.3;No TPA
HolfordBrinefield;Holford Brinefield;HolfordBrinefield;2999;;http://www.kgsp.co.uk/;;Salz Kaverne;;1;Keuper Gas Storage;;5.2133;;354.5;354.5;nTPA
Hornsea;Hornsea;Hornsea;1979;;http://sse.com/whatwedo/wholesale/gasstorage/;;Salz Kaverne;;1;SSE;;2.652;;130;24;nTPA
HumblyGrove;HumblyGrove;HumblyGrove;2005;;http://www.humblyenergy.co.uk/about-us#useful-information;;Leeres Gas Feld;;1;Humbly Grove Energy;;3.1161;;81;93.5;No TPA
Huntorf;Huntorf;Huntorf;1980;;;;;;;EWE Gasspeicher;308;;10.8;;;
Husow;Husow;Husow;1987;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;5.625;;64.6;46.7;rTPA
Incukalns_1;Incukalns;Incukalns;2026;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;1;Latvijas Gaze;;5.28;;0;0;rTPA
Incukalns_2;Incukalns;Incukalns;1969;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;1;Latvijas Gaze;;25.52;;330;187;rTPA
Incukalns_3;Incukalns;Incukalns;2019;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;1;Latvijas Gaze;;0;;22;0;rTPA
Incukalns_4;Incukalns;Incukalns;2021;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;1;Latvijas Gaze;;0;;33;0;rTPA
InzenhamWest;Inzenham-West;InzenhamWest;1982;;http://www.dea-speicher.de/en;;Leeres Feld;;1;DEA Speicher;500;4.768;6.12;80.6;53.8;nTPA
Islandmagee;Islandmagee;Islandmagee;2999;;http://www.islandmageestorage.com/;;Salz Kaverne;;1;Islandmagee Storage;;5.5;;242;132;nTPA
Izaute;Izaute;Izaute;1981;;http://www.tigf.fr/en/what-we-can-offer/storage.html;;Aquifer;;1;TIGF;;;;;;nTPA
Jemgum_1;Jemgum astora, The initial gas filling started in September 2013, first commercial operations were conducted in 2014/15.;Jemgum_Astora;2013;;https://www.astora.de/storage-locations/jemgum-storage-facility.html?L=1;;Salz Kaverne;;1;astora;;2.892;;50.4;15.6;nTPA
